,original_index,text,label,cleaned_text
0,5979,ဖာ မ ညီမပေး,ab,ဖာ မ ညီမပေး
1,3296,ပဲ မ ဒီမင်းဒီစိုးဒီသူခိုး ပဲ ပေါက်,po,ပဲ မ ဒီမင်းဒီစိုးဒီသူခိုး ပဲ ပေါက်
2,3261,ဖက်တီး မ မှုတ် လီး ပဲ,ab,ဖက်တီး မ မှုတ် လီး ပဲ
3,4725,ဖျင်ခံ စစ်ခွေး ပဲ မ ပဲ,po,ဖျင်ခံ စစ်ခွေး ပဲ မ ပဲ
4,2093,၀က်ရူးပြန် နေ တာ လား,no,၀က်ရူးပြန် နေ တာ လား
5,6583,ဖင်ခံ မ ဘောပါမ,ab,ဖင်ခံ မ ဘောပါမ
6,186,ရူး မသာမ,ab,ရူး မသာမ
7,2523,တိရိစ္ဆာန်စိတ် ပေါက်,ab,တိရိစ္ဆာန်စိတ် ပေါက်
8,2420,မအေloe ဖအူထုပ်မ,ab,မအေloe ဖအူထုပ်မ
9,4545,လီး ပဲ မသာမ စောက်မြင်တွေလည်းကပ်,ab,လီး ပဲ မသာမ စောက်မြင်တွေလည်းကပ်
10,2250,နောက် တစ် ယောက် ပေါ် လာ ပြန် ပြီ လား ပထမ တစ် ခါ တုန်း က တ‌စ် ယောက် လည်း အဲ့လို ပဲ လူ တွေ ပျောက် လို့ လိုက် ရှာ မှ အလိမ် ပေါ် တာ လေ အခု လည်း ထပ် ပြီး ပေါ် လာ ပြန် ပြီ,no,နောက် ယောက် ပေါ် လာ ပြန် ပြီ လား ပထမ ခါ တုန်း တ‌စ် ယောက် လည်း အဲ့လို ပဲ လူ တွေ ပျောက် လို့ လိုက် ရှာ အလိမ် ပေါ် တာ လေ အခု လည်း ထပ် ပြီး ပေါ် လာ ပြန် ပြီ
11,6147,လောက် ထည့် ဖင်ယား,po,လောက် ထည့် ဖင်ယား
12,3249,မ ဂေါင်းကြီး မ ဖျက် မနက် မ ပဲ ဂေါင်းကြီး,ab,မ ဂေါင်းကြီး မ ဖျက် မနက် မ ပဲ ဂေါင်းကြီး
13,4068,စောက်ဟာကြီး စောက်ငန်းထ,ab,စောက်ဟာကြီး စောက်ငန်းထ
14,2169,ဘောကိုမ,po,ဘောကိုမ
15,6125,ပဲ မALoeတပ်,po,ပဲ မALoeတပ်
16,4534,ပဲ မအလ,po,ပဲ မအလ
17,133,စစ်တပ် က ရွေးချယ် ထား တဲ့ အမတ် တွေ ပါ နေ မှ တော့ ဘယ် လွယ် မ လဲ လေ,no,စစ်တပ် ရွေးချယ် ထား တဲ့ အမတ် တွေ ပါ နေ တော့ ဘယ် လွယ် မ လဲ လေ
18,5762,အောက်တန်းစား ဖာဆန်,ab,အောက်တန်းစား ဖာဆန်
