text,label,original_index
ဖာ အားပေး မ လား မင်း က ပြော လက်စ ညီမပေး 😔,ab,5979
ဆရာဝန် မှတ် က မှီ မှာ ပါ ဒါ ကျက် ဒါ ဖြေ ကြီး ပဲ လေ ၊ ဆရာဝန် ကောင်း ဖြစ် ဖို့ က တော့ လုံးဝ ( လုံးဝ ) မ ဖြစ် နိုင် ပါ ဘူး ဒီမင်းဒီစိုးဒီသူခိုး နဲ့ ၊ ဒီ မိုး ဒီ မြေ ဒီ လူ တွေ နဲ့ ၊ ဒီ မျိုးစေ့ က ဒီ အပင် ပဲ ပေါက် မှာ ပါ ။ 👍,po,3296
ဖက်တီး က ဘို လို မ မှုတ် နဲ့ လေ ငါ လီး က တည်း မှ ပဲ,ab,3261
တရုတ် ဖျင်ခံ နေ တဲ့ စစ်ခွေး တွေ ပဲ ဒီမို စစ်စစ် မ ရ ချင် ကြ တာ ပါ မြန်မာ သာ ဖယ်ထရယ် ဒီမိုကရေစီ စစ်စစ် ကျင့်သုံး ရင် တရုတ် မှာ လည်း လှုပ် လာ မှာ ပဲ တရုတ် လည်း မြန်မာ လို ပြည်နယ် များ စွာ ကို ချုပ်ကိုင် ပြီး အုပ်ချုပ် နေ တာ,po,4725
၀က်ရူးပြန် နေ တာ လား,no,2093
ဖင်ခံ လို့ မ ဝ သေး လို့ ဘောပါမ ချင် တာ လား,ab,6583
ရူး နေ တာ လား မသာမ,ab,186
လူ့ ခန္ဓာကိုယ် နဲ့ တိရိစ္ဆာန်စိတ် ပေါက် သူ များ,ab,2523
နိုင်ငံ မှာ ငြိမ်းချမ်း သွား ပြီ လား မအေloe မျိုး တွေ နဲ့ ဖအူထုပ်မ တွေ ရေ,ab,2420
လီး ပဲ မသာမ ရေ စောက်မြင်တွေလည်းကပ် လာ ပြီ,ab,4545
နောက် တစ် ယောက် ပေါ် လာ ပြန် ပြီ လား ပထမ တစ် ခါ တုန်း က တ‌စ် ယောက် လည်း အဲ့လို ပဲ လူ တွေ ပျောက် လို့ လိုက် ရှာ မှ အလိမ် ပေါ် တာ လေ အခု လည်း ထပ် ပြီး ပေါ် လာ ပြန် ပြီ,no,2250
ကွန်ပျုတာ ဆိုင် သွား ပြီး စာစီ ထား တဲ့ စာရွက် လောက် ကို ဗူး နဲ့ ထည့် ပြီး တမင် ဖင်ယား ပြီး လိုက် ပေး နေ တာ,po,6147
မ သိ လို့ မေး ပါရစေ ဂေါင်းကြီး တို့ ရေ အခု ကော လာ ရ မယ့် အချိန် တွေ မှာ မီး ပျက် တာ က ဘာ ဖြစ် လို့ လဲ မ သိ ရင် 24 နာရီ လုံး မီး ပေး ထား ပြီး အခု မှာ ခဏတစ်ဖြုတ် ဖျက် သလို ပြော နေ တယ် နော် မနက် ဆို မီး မ လာ ည ဆို မီး ပျက် အခု လည်း ဖြစ် နေ တာ ပဲ လေ ဂေါင်းကြီး တွေ ရာ 🤣,ab,3249
ပန်းပန် တာ ကျ တော့ ဖမ်း တယ် စောက်ဟာကြီး ပေါ် တာ ကျ တော့ စောက်ငန်းထ နေ ကြ တယ် လိုက် ပါ တယ် နင် တို့ ခေတ်,ab,4068
ကိုယ့် ထမင်း ကိုယ် စား ပြီး သူများ ဘောကိုမ နေ ကြ ပါ တယ်,po,2169
အဲ့လို ပဲ တိုးတက် ဖို့ ထက် ကိုယ့် ဖို့ ကြည့် တဲ့ မALoeတပ် က ကောင် တွေ,po,6125
ဖွတ် 😃 ဖွတ် ခြင်း ကုတ် ခိုင်း တော့ သွေး ထွက် တာ ပဲ ရှိ မှာ ပေါ့ မအလ ရယ်,po,4534
စစ်တပ် က ရွေးချယ် ထား တဲ့ အမတ် တွေ ပါ နေ မှ တော့ ဘယ် လွယ် မ လဲ လေ,no,133
အောက်တန်းစား စိတ်ဓာတ် တွေ ဖာဆန် တဲ့ လုပ်ရပ် နဲ့ အတွေး တွေ,ab,5762
အရှေ့ဒဂုံ မ ပါ လည်း ပျက် ပါ လည်း ပျက် နဲ့ အခု လည်း ပျက် နေ တာ ပါ ပဲ တင် မ နေ နဲ့ စောက်လုပ်ရှုပ် တယ် ပြီး ရင် ဟုတ် တာ လည်း မ ဟုတ် ဘူး,ab,4359
