original_index,text,label
5979,ဖာ မ ညီမပေး,ab
3296,ပဲ မ ဒီမင်းဒီစိုးဒီသူခိုး ပဲ ပေါက်,po
3261,ဖက်တီး မ မှုတ် လီး ပဲ,ab
4725,ဖျင်ခံ စစ်ခွေး ပဲ မ ပဲ,po
2093,၀က်ရူးပြန် နေ တာ လား,no
6583,ဖင်ခံ မ ဘောပါမ,ab
186,ရူး မသာမ,ab
2523,တိရိစ္ဆာန်စိတ် ပေါက်,ab
2420,မအေloe ဖအူထုပ်မ,ab
4545,လီး ပဲ မသာမ စောက်မြင်တွေလည်းကပ်,ab
2250,နောက် တစ် ယောက် ပေါ် လာ ပြန် ပြီ လား ပထမ တစ် ခါ တုန်း က တ‌စ် ယောက် လည်း အဲ့လို ပဲ လူ တွေ ပျောက် လို့ လိုက် ရှာ မှ အလိမ် ပေါ် တာ လေ အခု လည်း ထပ် ပြီး ပေါ် လာ ပြန် ပြီ,no
6147,လောက် ထည့် ဖင်ယား,po
3249,မ ဂေါင်းကြီး မ ဖျက် မနက် မ ပဲ ဂေါင်းကြီး,ab
4068,စောက်ဟာကြီး စောက်ငန်းထ,ab
2169,ဘောကိုမ,po
6125,ပဲ မALoeတပ်,po
4534,ပဲ မအလ,po
133,စစ်တပ် က ရွေးချယ် ထား တဲ့ အမတ် တွေ ပါ နေ မှ တော့ ဘယ် လွယ် မ လဲ လေ,no
5762,အောက်တန်းစား ဖာဆန်,ab
4359,မ ပဲ မ စောက်လုပ်ရှုပ် မ,ab
4100,mmsp သုတ်ကြောင် AKရိုက်,ab
