text,label
လီး တောင် မ လီး ပဲ,ab
လောက် ဆောက်ရှက်ခွဲ,ab
သေခါနီး,ab
အောက်တန်းစား ဖာဆန်,ab
စာအုပ် အဟောင်း သတင်းစာ အဟောင်း ပဲ ကျန် တော့ မှာ ဗျာ ရောင်းစား စရာ က လည်း,no
ဖာ,ab
khwayဝဲစား ချ ပစ်,ab
ရူး ထမင်းလွတ်ရူး,ab
ကားယား ပွတ်သပ် မသာမ,bo
လီး ပဲ,ab
ကိုမေကိုလိုး လုပ်,ab
သရုပ်ပျက် မ,ab
ဖန်ခင်မ,ab
$ရူး တောင်,ab
ငိုးမ နွား မ,re
လီး ပဲ ဖင်နာ မအေလိုး ကိုမေကိုလိုး,ab
lee မအေလိုး သုတ်ကြောင်မ မ lee ဖင်နာကြမ်း,ab
စောက်ရေးမပါ စောက်ပြော ခံ မ လုပ် ဘောရုပ် နွားမဂွေးသင်းတဲ့ဆရာကြီး စောက်ထင်ကိုမကြီး ပေါက် မ,ab
စောက်ဆင့် ခွေးတိုးပေါက် တောင် မ,ab
92ကြောင်,ab
မြန်မာ ပြည် မှာ တော့ ရိုင်း တယ် ကွ,no
စောက်ရေးမပါ လုပ်,ab
မ ကမ မှန်း သိသာ စပွန်ဆာယူမယ့်ရုပ်,ab
သူများ ဟာ သူများ ဘာ ဝတ်ဝတ် ပေါ့ အရမ်း ဂရုစိုက် ကြ တာ ပဲ သူ တို့ ထမင်း သာ စား ရင် ဘယ်လို များ ပြော ဦး မ လဲ မ သိ ဘူး သူ များ လှ တာ ကို မ နာ လို ဖြစ် နေ ကြ တာ 🤒,no
ကိုမေသာကိုလိုး အကုသိုလ် မအေလိုး,ab
ဖျင်စအိုယား မ,ab
ဠီး မှန်း မ သောက်တလွဲ မ,ab
ဘာ လဲ ဟာ သူ့ ဟာ သူ ပိုက်ဆံ ရှိ လို့ ရိုက် တာ မ ကြိုက် ရင် မ ကြည့် ကြ နဲ့ ယဉ်ကျေး မှု တွေ ဘာ တွေ ပြော ပြီး ခြုံ တိုး နေ တဲ့ သူ တွေ ထက် သာ တယ်,no
အရှက်ကင်းမဲ့ လင်ကောင်မပေါ်ဘဲကလေးမွေးတာ,ab
လင်တရူး,ab
ညှပ် ချင် တဲ့ ပုံ က ပုံသွင်း တတ် မှ ရ တယ် ဆို တာ အရင် ပြောပြ သင့်,no
အလယ် က တစ် ယောက် က ဘာ ဖြစ်,no
မ မ မ ယွ မ,ab
ဘယ် ရွာ က လဲ,no
မ ပဲ $ကျိုးနည်း,ab
မနက် က အကြောင်း တောင် မ ပြော ရ သေး တာ မ လို သေး ဘူး,no
ငါ က တောင်ကြီး က မ ဟုတ် ဘူး နော်,no
စောက်မြင်ကပ်,ab
စစ်ခွေး ရဲခွေး ဖွတ်ခွေး လုပ် မ လိမ် မ,po
ဝိတ်ပေါ မ ဝက်ပေါ စောက်လက်မောင်း ဝဋ်ကြွေး ပဲ,bo
ဆောက်ဟန် ပဲ လီး ထိုး ပစ်,ab
😎 မ ဖြစ် နိုင် ဘူး ဆို တာ သေချာ ပြီ လား 😁 video ကြည့် ပြီး ဖြစ် နိုင် မယ် ဆို တာ သိ သွား ပြီ 😂,no
ဖာ,ab
ဓာတ်လိုက်Tay,ab
ငါယိုးမသား မနက် မ ဖြတ် မ ကိုမေကိုယိုး ယိုး ကိုမေကိုဂျွမ်းပစ်ယိုး,ab
ကောင်မ,ab
စပ ဖလမ မအလ စောက်မြင်ကပ်,ab
ကမကလ ဖြတ် ဖြတ် ငလမသ,ab
ကောင်မ စောက်မြင်ကပ်,ab
တောင်ကြီး သူ တဲ့ ကွာ မြို့ သိက္ခာကျ ပါ့ ကွာ ရွှေညောင် က ဆို တော့ အင်း ရွှေဥဒေါင်း ၊ ဇာနည် တစ် ခု ခု က ထွက် တာ ဖြစ် နိုင် တယ် ။,no
တောင် မ သေကုန်ကြပြီလား မ,ab
စောက်ခေါ,bo
ဒုတ်ရူးမ,ab
ခွေးရူး သေခါနီး,ab
လုပ် မ မိုးကြိုးပစ်ပါစေ,le
ရွှေကြို ဖင်တောင်ယား,ab
မအေလိုး,ab
ရွံ ဖေလိုးမ,ab
မ ခွေးတိုးပေါက် ခွေးတိုးအိမ်ဟောင်မ,ab
ငါ့ လစာ ထုတ် ပြီး ပြီ နင် လစာ ထုတ် မှာ စောင့် နေ တာ 😁,no
ဖေယိုးမ သုတ်ကြောင် မ ခွေး လိုး ခံ,ab
ခွေး,po
ခေတ် မ ကောင်း တဲ့ အချိန် မှာ သူ တို့ အုပ်စု ဂယက် အထ ဆုံး,no
သမီး ရေ အရမ်း လှ သွား ပြီ မေမေ့ ကို လည်း ပြင် ပေး နော်,no
ဇဘကွဲမ အသံဇိုး ဇဘုကြမ်းကြားညှပ်သံ,bo
လောက် စိတ်ပျက် ဖင်ထဲသခွားသီးထိုးထား,ab
မ စောက်ကျက်သရေမရှိ,ab
မအလ Sကျင့် အမျိုးယုတ်,ab
အဆင့်အတန်းကိုမရှိ စော်ကား ပစ် အသက်ကြီးပြီးတရားမရှိ,ab
မသမ,ab
ရုပ်ကြည့်ကတည်းက,bo
ဘာ ပြောပြော ဝင်းသူဇာ ထက် တော့ သာ တယ်,no
video တစ် ခု မှာ ကြည့် ဖူး တယ် လူငယ် လေး တစ် ယောက် က သူ့ ကို စစ်သား တွေ က ပိုက်ဆံ ပေး ပြီး pdf တွေ ရှိ တဲ့ နေရာ တွေ ကို လိုက် စုံစမ်း ပြီး ပြန် ပြော ခိုင်း တာ တဲ့ သူ တို့ လည်း စစ်သား တွေ က ခိုင်း လို့ လား ဘာ လား,no
လူယုတ်မာ,po
မအလ သုတ်ပိုးတွေခေါင်းမှာပြည့်,po
မ သောက်လုံး,ab
ဒါကြောင့် ပဲ စကစ နဲ့ လေပေး ဖြောင့် နေ ကြ တာ အတူတူ နဲ့ အနူနူ တွေ,no
သတ် သေ မ,ab
လီး ပဲ လီး,ab
အရှေ့တောင် အာရှ မှာ ဒီမိုကရေစီ ရ တဲ့ နိုင်ငံ ပြော ပြ ကြည့်,no
MALOE ဖုန်ရှူလိုက်,ab
စောက်တလွဲ,ab
၈၈ တုန်း က လုပ် ခဲ့ သမျှ သဲ ထဲ ရေ သွန်,no
ဘယ်သူ ဆို တာ သိ ပုံ မ ရ ဘူး ထင် တယ်,no
အိပ်မက် က အမ တစ် ယောက် ပဲ ရှိ တာ လား 🥲,no
သောက်ကျိုးနည်း တောင် လောက် မ လောက်,ab
လုပ် ပဲ မ မ စောက်ပို ပဲ ခံ မ,ed
ခေါင်းထဲချီးတွေပဲရှိနေတာလား,ed
ကိုမေကိုလိုး,re
တောင် Leee,ab
ခေါင်း ချီး ချေး ပဲ,po
$လုပ် မ,ab
ပဲ ငတေမာမ,po
မ မသာ,ab
မင်းမေလိုး မ,ab
လီး ပဲ လီး ပဲ,ab
အရူး မ,ab
စောက်ရူး,ab
လီး တောင် မ,ab
ထွီ ရွံ စိတ်လည်းပျက် ပေါက် $ရူး $နှာဗူး ပဲ,ab
မင်းအမေလင် မ မအေလိုး,po
နှမလိုး လိ့ လိ့ ပဲ,ab
$ပေါ မ $ပေါ,ab
စပ ပဲ,ab
$ရူး ကျက်သရေတုံး မ မAလ,ab
စိတ်ပျက် လော်ကီး ပဲ,ab
​စောက်ရူး လုပ် စစ်​ခွေး ချီးထက်ရွံတယ်,po
နင့်စအိုပေါက်ထဲဝင် ဖေလိုးမ,ab
သတ် အယုတ်မာဆုံး,po
