text,label,original_index,cleaned_text
ဖာ အားပေး မ လား မင်း က ပြော လက်စ ညီမပေး 😔,ab,5979,ဖာ အားပေး မ လား မင်း ပြော လက်စ ညီမပေး pensive_face
ဆရာဝန် မှတ် က မှီ မှာ ပါ ဒါ ကျက် ဒါ ဖြေ ကြီး ပဲ လေ ၊ ဆရာဝန် ကောင်း ဖြစ် ဖို့ က တော့ လုံးဝ ( လုံးဝ ) မ ဖြစ် နိုင် ပါ ဘူး ဒီမင်းဒီစိုးဒီသူခိုး နဲ့ ၊ ဒီ မိုး ဒီ မြေ ဒီ လူ တွေ နဲ့ ၊ ဒီ မျိုးစေ့ က ဒီ အပင် ပဲ ပေါက် မှာ ပါ ။ 👍,po,3296,ဆရာဝန် မှတ် မှီ မှာ ပါ ဒါ ကျက် ဒါ ဖြေ ကြီး ပဲ လေ ၊ ဆရာဝန် ကောင်း ဖြစ် ဖို့ တော့ လုံးဝ ( လုံးဝ ) မ ဖြစ် နိုင် ပါ ဘူး ဒီမင်းဒီစိုးဒီသူခိုး နဲ့ ၊ ဒီ မိုး ဒီ မြေ ဒီ လူ တွေ နဲ့ ၊ ဒီ မျိုးစေ့ ဒီ အပင် ပဲ ပေါက် မှာ ပါ ။ thumbs_up
ဖက်တီး က ဘို လို မ မှုတ် နဲ့ လေ ငါ လီး က တည်း မှ ပဲ,ab,3261,ဖက်တီး ဘို လို မ မှုတ် နဲ့ လေ ငါ လီး တည်း ပဲ
တရုတ် ဖျင်ခံ နေ တဲ့ စစ်ခွေး တွေ ပဲ ဒီမို စစ်စစ် မ ရ ချင် ကြ တာ ပါ မြန်မာ သာ ဖယ်ထရယ် ဒီမိုကရေစီ စစ်စစ် ကျင့်သုံး ရင် တရုတ် မှာ လည်း လှုပ် လာ မှာ ပဲ တရုတ် လည်း မြန်မာ လို ပြည်နယ် များ စွာ ကို ချုပ်ကိုင် ပြီး အုပ်ချုပ် နေ တာ,po,4725,တရုတ် ဖျင်ခံ နေ တဲ့ စစ်ခွေး တွေ ပဲ ဒီမို စစ်စစ် မ ရ ချင် ကြ တာ ပါ မြန်မာ သာ ဖယ်ထရယ် ဒီမိုကရေစီ စစ်စစ် ကျင့်သုံး ရင် တရုတ် မှာ လည်း လှုပ် လာ မှာ ပဲ တရုတ် လည်း မြန်မာ လို ပြည်နယ် စွာ ကို ချုပ်ကိုင် ပြီး အုပ်ချုပ် နေ တာ
၀က်ရူးပြန် နေ တာ လား,no,2093,၀က်ရူးပြန် နေ တာ လား
ဖင်ခံ လို့ မ ဝ သေး လို့ ဘောပါမ ချင် တာ လား,ab,6583,ဖင်ခံ လို့ မ ဝ သေး လို့ ဘောပါမ ချင် တာ လား
ရူး နေ တာ လား မသာမ,ab,186,ရူး နေ တာ လား မသာမ
လူ့ ခန္ဓာကိုယ် နဲ့ တိရိစ္ဆာန်စိတ် ပေါက် သူ များ,ab,2523,လူ့ ခန္ဓာကိုယ် နဲ့ တိရိစ္ဆာန်စိတ် ပေါက် သူ
နိုင်ငံ မှာ ငြိမ်းချမ်း သွား ပြီ လား မအေloe မျိုး တွေ နဲ့ ဖအူထုပ်မ တွေ ရေ,ab,2420,နိုင်ငံ မှာ ငြိမ်းချမ်း သွား ပြီ လား မအေloe မျိုး တွေ နဲ့ ဖအူထုပ်မ တွေ ရေ
လီး ပဲ မသာမ ရေ စောက်မြင်တွေလည်းကပ် လာ ပြီ,ab,4545,လီး ပဲ မသာမ ရေ စောက်မြင်တွေလည်းကပ် လာ ပြီ
နောက် တစ် ယောက် ပေါ် လာ ပြန် ပြီ လား ပထမ တစ် ခါ တုန်း က တ‌စ် ယောက် လည်း အဲ့လို ပဲ လူ တွေ ပျောက် လို့ လိုက် ရှာ မှ အလိမ် ပေါ် တာ လေ အခု လည်း ထပ် ပြီး ပေါ် လာ ပြန် ပြီ,no,2250,နောက် ယောက် ပေါ် လာ ပြန် ပြီ လား ပထမ ခါ တုန်း တ‌စ် ယောက် လည်း အဲ့လို ပဲ လူ တွေ ပျောက် လို့ လိုက် ရှာ အလိမ် ပေါ် တာ လေ အခု လည်း ထပ် ပြီး ပေါ် လာ ပြန် ပြီ
ကွန်ပျုတာ ဆိုင် သွား ပြီး စာစီ ထား တဲ့ စာရွက် လောက် ကို ဗူး နဲ့ ထည့် ပြီး တမင် ဖင်ယား ပြီး လိုက် ပေး နေ တာ,po,6147,ကွန်ပျုတာ ဆိုင် သွား ပြီး စာစီ ထား တဲ့ စာရွက် လောက် ကို ဗူး နဲ့ ထည့် ပြီး တမင် ဖင်ယား ပြီး လိုက် ပေး နေ တာ
