ResNet50_top1,ResNet50_top2,ResNet50_top3,VGGNet16_top1,VGGNet16_top2,VGGNet16_top3,InceptionV3_top1,InceptionV3_top2,InceptionV3_top3,ConvNeXt_top1,ConvNeXt_top2,ConvNeXt_top3,EfficientNet_top1,EfficientNet_top2,EfficientNet_top3,ResNet50_prob1,ResNet50_prob2,ResNet50_prob3,VGGNet16_prob1,VGGNet16_prob2,VGGNet16_prob3,InceptionV3_prob1,InceptionV3_prob2,InceptionV3_prob3,ConvNeXt_prob1,ConvNeXt_prob2,ConvNeXt_prob3,EfficientNet_prob1,EfficientNet_prob2,EfficientNet_prob3,label,ResNet50_inference time,VGGNet16_inference time,InceptionV3_inference time,ConvNeXt_inference time,EfficientNet_inference time
tricycle,jinrikisha,bicycle-built-for-two,tricycle,bonnet,chocolate_sauce,clog,flatworm,leatherback_turtle,bicycle-built-for-two,tricycle,groom,tricycle,cauliflower,bicycle-built-for-two,0.84685427,0.038393907,0.03279883,0.19207735,0.045081094,0.02790964,0.592905,0.39247718,0.010072917,0.2544362,0.15733388,0.15584151,0.81798655,0.017142938,0.016339054,bicycle,2.3553273677825928,0.46463537216186523,2.1736927032470703,12.70089316368103,44.93004393577576
pinwheel,tray,bee_eater,jellyfish,sea_slug,balloon,flatworm,clog,vase,sulphur-crested_cockatoo,bee_eater,coil,bee_eater,macaw,quill,0.69915277,0.052822474,0.024351567,0.17416811,0.097118154,0.06285774,0.9999999,8.3185185e-08,1.4954437e-09,0.56961906,0.093804784,0.08560553,0.3535772,0.28789806,0.020851985,bird,0.5595908164978027,0.21445441246032715,0.17799687385559082,1.0494589805603027,1.3446345329284668
pinwheel,mask,bubble,bubble,snail,sea_slug,flatworm,clog,quilt,bubble,shower_cap,hair_slide,lacewing,sulphur_butterfly,ringlet,0.49099424,0.1770812,0.09030004,0.22225279,0.12025475,0.08646881,0.8968855,0.10311041,3.1501881e-06,0.5924353,0.04385025,0.020472376,0.64868724,0.18346827,0.036397237,butterfly,0.15523910522460938,0.21683096885681152,0.16830778121948242,0.9871177673339844,1.2677075862884521
laptop,window_screen,notebook,tabby,Persian_cat,tiger_cat,web_site,stopwatch,saltshaker,tabby,Persian_cat,window_screen,Persian_cat,tiger_cat,shower_curtain,0.39526984,0.15180959,0.057180304,0.20779729,0.14854228,0.08610318,1.0,2.4946652e-14,5.5043974e-15,0.28784898,0.13839301,0.07817297,0.49992573,0.12844726,0.07179698,cat,0.1690378189086914,0.20016121864318848,0.14727473258972168,1.0424985885620117,1.2758252620697021
hen,cock,partridge,cock,hen,partridge,stopwatch,hammer,ashcan,hen,cock,partridge,hen,cock,drake,0.50244856,0.49649444,0.00048680336,0.67628247,0.32327926,0.00014898198,0.58571327,0.2605738,0.12539342,0.76160324,0.1293268,0.005508918,0.6226044,0.22836189,0.0028300348,chicken,0.1833362579345703,0.18928146362304688,0.1640336513519287,0.9940168857574463,1.2670915126800537
tennis_ball,golden_retriever,Pekinese,golden_retriever,tennis_ball,Great_Pyrenees,flatworm,mink,web_site,tennis_ball,Great_Pyrenees,Pekinese,golden_retriever,Great_Pyrenees,tennis_ball,0.91886157,0.07493285,0.0029204518,0.5700918,0.15227266,0.077232674,0.9271685,0.06042687,0.011017698,0.2718184,0.20981254,0.17762792,0.6039146,0.088136695,0.06614789,dog,0.1669769287109375,0.20461320877075195,0.15797042846679688,1.0208113193511963,1.2881174087524414
alp,valley,lakeside,sorrel,Shetland_sheepdog,picket_fence,flatworm,web_site,stopwatch,carousel,Yorkshire_terrier,knot,alp,sorrel,valley,0.3787711,0.23016743,0.09927541,0.2141952,0.18477094,0.065607615,0.9859702,0.0136207985,0.00036615977,0.5968312,0.035852328,0.019508203,0.38357064,0.12963164,0.048445027,horse,0.1811521053314209,0.20539569854736328,0.15956354141235352,0.9822845458984375,1.299851417541504
vase,pot,pillow,pot,vase,hip,web_site,flatworm,bow,necklace,coil,handkerchief,coil,vase,conch,0.160366,0.09769155,0.09333642,0.3724951,0.1441918,0.056811806,0.7971487,0.10359125,0.099260084,0.24575679,0.109226175,0.088081226,0.14973396,0.10025994,0.08604006,rose,0.18413591384887695,0.21694588661193848,0.19633746147155762,0.9992706775665283,1.308548927307129
balloon,hamster,jigsaw_puzzle,Arctic_fox,ice_bear,Samoyed,clog,flatworm,pitcher,Arctic_fox,Samoyed,kuvasz,Arctic_fox,Samoyed,white_wolf,0.09864324,0.091178164,0.07342963,0.15921088,0.14649495,0.13064969,0.99435955,0.0056404965,1.7201964e-09,0.28604892,0.2111092,0.028165577,0.14845437,0.13901779,0.13593304,sheep,0.1951448917388916,0.18953990936279297,0.1597456932067871,1.0277814865112305,1.3108856678009033
picket_fence,worm_fence,birdhouse,balloon,picket_fence,toyshop,flatworm,shopping_basket,pitcher,picket_fence,worm_fence,fountain,picket_fence,worm_fence,bonnet,0.99313366,0.0028498373,0.0012911248,0.298547,0.1748125,0.10412853,0.9999573,3.054564e-05,7.931611e-06,0.92295045,0.019722091,0.0021975474,0.7755485,0.016092604,0.012193593,woman,0.16460371017456055,0.22382473945617676,0.17194199562072754,1.0421228408813477,1.477245807647705
