ResNet50_class_1,ResNet50_prob_1,VGGNet16_class_1,VGGNet16_prob_1,InceptionV3_class_1,InceptionV3_prob_1,ConvNeXt_class_1,ConvNeXt_prob_1,EfficientNet_class_1,EfficientNet_prob_1,label
ambulance,0.99962234,ambulance,0.99927205,ambulance,0.9534949,ambulance,0.08282502,ambulance,0.832368,ambulance
bow_tie,0.99602914,bow_tie,0.9522783,bow_tie,0.9999753,parachute,0.0053922078,bow_tie,0.74702257,bow
broom,0.9997441,broom,0.99754864,broom,0.7633408,grand_piano,0.006588763,broom,0.8075011,broom
limousine,0.19526526,minivan,0.45344833,sports_car,0.22266008,beach_wagon,0.006683519,minivan,0.22913264,car
cauliflower,0.9997255,cauliflower,0.999634,cauliflower,0.9714925,matchstick,0.0017165785,cauliflower,0.80785155,cauliflower
stopwatch,0.5677107,analog_clock,0.5553498,stopwatch,0.77601355,analog_clock,0.003717197,analog_clock,0.8333378,clock
clog,0.99134666,clog,0.88452697,clog,0.70732456,matchstick,0.0020652201,clog,0.8182943,clog
hammer,0.6007007,hammer,0.7063607,hammer,0.93657625,matchstick,0.0020208934,nail,0.47716287,hammer
warplane,0.3737969,airship,0.26373553,ambulance,0.40169355,tricycle,0.0020185367,ambulance,0.3235871,helicopter
safe,0.52366006,projector,0.13963018,nail,0.035541244,daisy,0.002139652,notebook,0.6270882,laptop
pitcher,0.52252793,pitcher,0.7333908,pitcher,0.30041376,nematode,0.0019157036,pitcher,0.36109436,pitcher
speedboat,0.99001795,speedboat,0.96414286,speedboat,0.7482685,racer,0.0019892496,speedboat,0.3837857,speedboat
sunglass,0.15678073,sunglasses,0.11015405,sunglasses,0.5372119,sunglasses,0.009923205,sunglass,0.40842885,sunglasses
violin,0.79915464,violin,0.92890084,violin,0.97481763,cello,0.038436584,violin,0.7380574,violin
