ResNet50,"ResNet50
top1_proba",VGGNet16,"VGGNet16
top1_proba",InceptionV3,"InceptionV3
top1_proba",ConvNeXt,"ConvNeXt
top1_proba",EfficientNet,"EfficientNet
top1_proba",label
bald_eagle,1,bald_eagle,1,web_site,1,bald_eagle,0.93,bald_eagle,0.34,bald_eagle
American_chameleon,0.7,American_chameleon,0.64,web_site,1,American_chameleon,0.61,nail,0.15,chameleon
goldfish,1,goldfish,0.98,sock,0.62,goldfish,0.87,honeycomb,0.53,fish
goldfinch,1,goldfinch,1,web_site,0.9,house_finch,0.76,nail,0.46,goldfinch
goldfish,0.95,goldfish,1,web_site,1,goldfish,0.92,goldfish,0.73,goldfish
hen,0.53,hen,0.5,web_site,1,hen,0.67,cock,0.16,hen
mud_turtle,0.62,terrapin,0.21,paddle,0.81,mud_turtle,0.42,chainlink_fence,0.4,mud_turtle
ostrich,1,ostrich,0.97,web_site,1,ostrich,0.84,ostrich,0.16,ostrich
cock,0.72,hen,0.59,flatworm,0.73,hen,0.56,cock,0.29,rooster
great_white_shark,0.85,great_white_shark,0.97,web_site,1,great_white_shark,0.94,great_white_shark,0.77,shark
electric_ray,0.8,electric_ray,0.86,web_site,1,stingray,0.72,stingray,0.57,stingray
tench,0.48,tench,0.97,web_site,0.85,tench,0.67,tench,0.47,tench
tiger_shark,0.98,tiger_shark,0.98,web_site,1,tiger_shark,0.88,tiger_shark,0.65,tiger_shark
ambulance,1,ambulance,1,hammer,0.98,ambulance,0.83,ambulance,0.82,ambulance
broom,1,broom,1,stopwatch,1,broom,0.8,broom,0.38,broom
limousine,0.2,minivan,0.45,bow,1,beach_wagon,0.38,cab,0.21,car
cauliflower,1,cauliflower,1,pitcher,1,cauliflower,0.76,cauliflower,0.84,cauliflower
stopwatch,0.57,analog_clock,0.56,web_site,1,analog_clock,0.93,strainer,0.32,clock
warplane,0.37,airship,0.26,web_site,1,ambulance,0.63,warplane,0.59,helicopter
safe,0.52,projector,0.14,web_site,1,notebook,0.23,switch,0.12,laptop_with_notebook
speedboat,0.99,speedboat,0.96,web_site,1,speedboat,0.63,speedboat,0.45,speedboat
sunglass,0.16,sunglasses,0.11,clog,1,sunglass,0.6,sunglass,0.21,sunglasses
violin,0.8,violin,0.93,clog,1,violin,0.91,hook,0.05,violin
(Accuracy),,(Accuracy),,(Accuracy),,(Accuracy),,(Accuracy),,
0.87,,0.91,,0,,0.96,,0.74,,
