Priority,Description,Start Time,Duration
Minor, Maximum query elapsed time is high on Oracle Database ONPREM_KBZPRDDCPDB_PDB:1580:KBZPRDDCPDB," Aug 02, 2025 00:00 ",1h 10m
Minor, High disk space usage on /u01 drive of eG_Backend_DB_DR," Aug 01, 2025 23:59 ",9m 29s
Critical, High disk space usage on /export/home/orarom drive of BIREPO_DB_Node_1," Aug 01, 2025 23:59 ",28m 20s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:58 ",3m 51s
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:58 ",1m 46s
Minor, There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-lp257 of namespace javaic on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 23:58 ",14m 41s
Minor, There are many waiting containers in pod aws-guardduty-agent-mhm56 of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 23:57 ",2h 11m
Critical, Test AWSAppStreamTest is not reporting at configured measure period on eG Agent eG_RUM_Agent," Aug 01, 2025 23:57 ",45m 8s
Minor, Buffer cache hit ratio is low on Oracle Database EYLOAN_Oracle_DB:1880:dcey," Aug 01, 2025 23:55 ",41m 28s
Critical, Lagging checkpoint duration is high  {EXTRACT/ELOTNE}," Aug 01, 2025 23:54 ",1h 9m
Critical, Lagging checkpoint duration is high  {EXTRACT/ELOTNG}," Aug 01, 2025 23:54 ",1h 9m
Critical, Lagging checkpoint duration is high  {EXTRACT/ELOTNC}," Aug 01, 2025 23:54 ",1h 9m
Critical, Lagging checkpoint duration is high  {EXTRACT/ELOTNB}," Aug 01, 2025 23:54 ",1h 9m
Critical, Lagging checkpoint duration is high  {EXTRACT/ELOTND}," Aug 01, 2025 23:54 ",1h 9m
Critical, Lagging checkpoint duration is high  {EXTRACT/ELOTNF}," Aug 01, 2025 23:54 ",1h 9m
Critical, Lagging checkpoint duration is high  {EXTRACT/ELOTNA}," Aug 01, 2025 23:54 ",1h 9m
Critical, Lagging checkpoint duration is high  {EXTRACT/ELOTNH}," Aug 01, 2025 23:54 ",1h 9m
Major, Many user errors have been detected in Microsoft SQL server CBMNET_FIGW_DB_SERVER_DR:1433's error log," Aug 01, 2025 23:53 ",36m 40s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 23:53 ",3m 45s
Critical, TCP connection failed when accessing the web page HomePage. This is affecting External Web ibanking," Aug 01, 2025 23:52 ",5m 13s
Minor, Many queued jobs on SAP HANA Database KBZ-PRD-DB-SYSDB:35015 {Volume_5}," Aug 01, 2025 23:52 ",5m 8s
Minor, There have been many container termination failures for pod aws-guardduty-agent-mhm56 of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 23:52 ",5m 5s
Minor, Average exclusive lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015," Aug 01, 2025 23:51 ",9m 52s
Critical,TimeSinceLastChckPoint  {REPLICAT/RLOTNA}," Aug 01, 2025 23:51 ",15m 43s
Minor, Average shared lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015," Aug 01, 2025 23:51 ",9m 52s
Minor, Memory utilization is high on apisys-prod-zb.kbzbank.com," Aug 01, 2025 23:50 ",10m 14s
Major, High disk space usage on /var drive of BIREPO_DB_Node_1," Aug 01, 2025 23:49 ",29m 14s
