Priority,Comp Type,Comp Name,Test,Description
Minor,Oracle Database,ONPREM+AF8-KBZPRDDCPDB+AF8-PDB:1580:KBZPRDDCPDB,Oracle SQL Workload, Maximum query elapsed time is high on Oracle Database ONPREM+AF8-KBZPRDDCPDB+AF8-PDB:1580:KBZPRDDCPDB
Minor,Oracle Database,eG+AF8-Backend+AF8-DB+AF8-DR,Disk Space, High disk space usage on /u01 drive of eG+AF8-Backend+AF8-DB+AF8-DR
Critical,Solaris,BIREPO+AF8-DB+AF8-Node+AF8-1,Disk Space, High disk space usage on /export/home/orarom drive of BIREPO+AF8-DB+AF8-Node+AF8-1
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Scans, Percentage of long table scans is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Jobs, Elapsed time of Oracle job is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Kubernetes Cluster,flexcube+AC0-cbs+AC0-uat+AC0-tkc:6443,K8s Pods by Namespace, There are many waiting containers in pod obic+AC0-interest+AC0-extrp+AC0-service+AC0-9cd9c45b+AC0-lp257 of namespace javaic on Kubernetes Cluster flexcube+AC0-cbs+AC0-uat+AC0-tkc
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, There are many waiting containers in pod aws+AC0-guardduty+AC0-agent+AC0-mhm56 of namespace amazon+AC0-guardduty on Kubernetes Cluster NewCoreBankingProdEnv
Critical,eG Agent,eG+AF8-RUM+AF8-Agent,Tests, Test AWSAppStreamTest is not reporting at configured measure period on eG Agent eG+AF8-RUM+AF8-Agent
Minor,Oracle Database,EYLOAN+AF8-Oracle+AF8-DB:1880:dcey,Oracle SGA, Buffer cache hit ratio is low on Oracle Database EYLOAN+AF8-Oracle+AF8-DB:1880:dcey
Critical,Oracle+AF8-Gold+AF8-Gate+AF8-ex,RPTDCLOG+AF8-CBS+AF8-GG,GoldGtLogTest+AF8-ex, Lagging checkpoint duration is high  +AHs-EXTRACT/ELOTNE+AH0-
Critical,Oracle+AF8-Gold+AF8-Gate+AF8-ex,RPTDCLOG+AF8-CBS+AF8-GG,GoldGtLogTest+AF8-ex, Lagging checkpoint duration is high  +AHs-EXTRACT/ELOTNG+AH0-
Critical,Oracle+AF8-Gold+AF8-Gate+AF8-ex,RPTDCLOG+AF8-CBS+AF8-GG,GoldGtLogTest+AF8-ex, Lagging checkpoint duration is high  +AHs-EXTRACT/ELOTNC+AH0-
Critical,Oracle+AF8-Gold+AF8-Gate+AF8-ex,RPTDCLOG+AF8-CBS+AF8-GG,GoldGtLogTest+AF8-ex, Lagging checkpoint duration is high  +AHs-EXTRACT/ELOTNB+AH0-
Critical,Oracle+AF8-Gold+AF8-Gate+AF8-ex,RPTDCLOG+AF8-CBS+AF8-GG,GoldGtLogTest+AF8-ex, Lagging checkpoint duration is high  +AHs-EXTRACT/ELOTND+AH0-
Critical,Oracle+AF8-Gold+AF8-Gate+AF8-ex,RPTDCLOG+AF8-CBS+AF8-GG,GoldGtLogTest+AF8-ex, Lagging checkpoint duration is high  +AHs-EXTRACT/ELOTNF+AH0-
Critical,Oracle+AF8-Gold+AF8-Gate+AF8-ex,RPTDCLOG+AF8-CBS+AF8-GG,GoldGtLogTest+AF8-ex, Lagging checkpoint duration is high  +AHs-EXTRACT/ELOTNA+AH0-
Critical,Oracle+AF8-Gold+AF8-Gate+AF8-ex,RPTDCLOG+AF8-CBS+AF8-GG,GoldGtLogTest+AF8-ex, Lagging checkpoint duration is high  +AHs-EXTRACT/ELOTNH+AH0-
Major,Microsoft SQL,CBMNET+AF8-FIGW+AF8-DB+AF8-SERVER+AF8-DR:1433,SQL Error Log, Many user errors have been detected in Microsoft SQL server CBMNET+AF8-FIGW+AF8-DB+AF8-SERVER+AF8-DR:1433's error log
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Scans, Percentage of long table scans is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Critical,External Web,ibanking:443,HTTP, TCP connection failed when accessing the web page HomePage. This is affecting External Web ibanking
