Priority,Start_ISO,Is_Weekend,Duration_Min,Priority_Level,Component_Type,Pseudo_Description
Minor,2025-08-02T00:00:00,True,70.0,1,host,[TYPE]=<component_1> [NAME]=<component_name_1> [TEST]=<test_1> | <test_1> on <component_name_1> Database <component_name_1>
Minor,2025-08-01T23:59:00,False,9.483,1,host,[TYPE]=<component_1> [NAME]=<component_name_2> [TEST]=<test_2> | <test_2> drive of <component_name_2>
Critical,2025-08-01T23:59:00,False,28.333,3,host,[TYPE]=<component_1> [NAME]=<component_name_3> [TEST]=<test_3> | <test_3> drive of <component_name_3>
Minor,2025-08-01T23:58:00,False,3.85,1,host,[TYPE]=<component_1> [NAME]=<component_name_1> [TEST]=<test_4> | <test_4> on <component_name_1> Database <component_name_1>
Minor,2025-08-01T23:58:00,False,1.767,1,host,[TYPE]=<component_1> [NAME]=<component_name_1> [TEST]=<test_5> | Elapsed time of <component_name_1> job is high on <component_name_1> Database <component_name_1>
Minor,2025-08-01T23:58:00,False,14.683,1,host,[TYPE]=<component_1> [NAME]=<component_name_4> [TEST]=<test_6> | There are many waiting containers in pod <component_name_4> of namespace javaic on <component_name_4> Cluster <component_name_4>
Minor,2025-08-01T23:57:00,False,131.0,1,host,[TYPE]=<component_1> [NAME]=<component_name_4> [TEST]=<test_7> | There are many waiting containers in pod <component_name_4> of namespace amazon-guardduty on <component_name_4> Cluster <component_name_4>
Critical,2025-08-01T23:57:00,False,45.133,3,eG agent,[TYPE]=<component_2> [NAME]=<component_name_5> [TEST]=<test_8> | Test <test_8> is not reporting at configured measure period on <component_2> <component_name_5>
Minor,2025-08-01T23:55:00,False,41.467,1,host,[TYPE]=<component_1> [NAME]=<component_name_1> [TEST]=<test_9> | <test_9> on <component_name_1> Database EYLOAN_<component_name_1>_DB:1880:dcey
Critical,2025-08-01T23:54:00,False,69.0,3,oracle goldengate extract,[TYPE]=<component_3> [NAME]=<component_name_6> [TEST]=<test_10> | <test_10> {<component_name_6>}
Critical,2025-08-01T23:54:00,False,69.0,3,oracle goldengate extract,[TYPE]=<component_3> [NAME]=<component_name_7> [TEST]=<test_10> | <test_10> {<component_name_7>}
Critical,2025-08-01T23:54:00,False,69.0,3,oracle goldengate extract,[TYPE]=<component_3> [NAME]=<component_name_8> [TEST]=<test_10> | <test_10> {<component_name_8>}
Critical,2025-08-01T23:54:00,False,69.0,3,oracle goldengate extract,[TYPE]=<component_3> [NAME]=<component_name_9> [TEST]=<test_10> | <test_10> {<component_name_9>}
Critical,2025-08-01T23:54:00,False,69.0,3,oracle goldengate extract,[TYPE]=<component_3> [NAME]=<component_name_10> [TEST]=<test_10> | <test_10> {<component_name_10>}
Critical,2025-08-01T23:54:00,False,69.0,3,oracle goldengate extract,[TYPE]=<component_3> [NAME]=<component_name_11> [TEST]=<test_10> | <test_10> {<component_name_11>}
Critical,2025-08-01T23:54:00,False,69.0,3,oracle goldengate extract,[TYPE]=<component_3> [NAME]=<component_name_12> [TEST]=<test_10> | <test_10> {<component_name_12>}
Critical,2025-08-01T23:54:00,False,69.0,3,oracle goldengate extract,[TYPE]=<component_3> [NAME]=<component_name_13> [TEST]=<test_10> | <test_10> {<component_name_13>}
Major,2025-08-01T23:53:00,False,36.667,2,sql server,[TYPE]=<component_4> [NAME]=<component_name_261> [TEST]=<test_UNK> | Many user errors have been detected in Microsoft <component_4> <component_name_261>'s error log
Minor,2025-08-01T23:53:00,False,3.75,1,host,[TYPE]=<component_1> [NAME]=<component_name_1> [TEST]=<test_4> | <test_4> on <component_name_1> Database <component_name_1>
Critical,2025-08-01T23:52:00,False,5.217,3,external web,[TYPE]=<component_5> [NAME]=<component_name_15> [TEST]=<test_UNK> | TCP connection failed when accessing the web page HomePage. This is affecting <component_5> <component_name_15>
Minor,2025-08-01T23:52:00,False,5.133,1,sap hana database,[TYPE]=<component_6> [NAME]=<component_name_16> [TEST]=<test_13> | <test_13> on <component_6> <component_name_16> {<component_name_16>}
Minor,2025-08-01T23:52:00,False,5.083,1,host,[TYPE]=<component_1> [NAME]=<component_name_4> [TEST]=<test_14> | <test_14> on <component_name_4> Cluster <component_name_4>
Minor,2025-08-01T23:51:00,False,9.867,1,sap hana database,[TYPE]=<component_6> [NAME]=<component_name_16> [TEST]=<test_15> | <test_15> on <component_6> <component_name_16>
Critical,2025-08-01T23:51:00,False,15.717,3,oracle goldengate replicat,[TYPE]=<component_7> [NAME]=<component_name_17> [TEST]=<test_16> | <test_16> {<component_name_17>}
Minor,2025-08-01T23:51:00,False,9.867,1,sap hana database,[TYPE]=<component_6> [NAME]=<component_name_16> [TEST]=<test_17> | <test_17> on <component_6> <component_name_16>
Minor,2025-08-01T23:50:00,False,10.233,1,host,[TYPE]=<component_1> [NAME]=<component_name_18> [TEST]=<test_18> | <test_18> on <component_name_18>
Major,2025-08-01T23:49:00,False,29.233,2,host,[TYPE]=<component_1> [NAME]=<component_name_3> [TEST]=<test_19> | <test_19> drive of <component_name_3>
Minor,2025-08-01T23:49:00,False,19.317,1,host,[TYPE]=<component_1> [NAME]=<component_name_3> [TEST]=<test_20> | <test_20> drive of <component_name_3>
Minor,2025-08-01T23:48:00,False,0.767,1,host,[TYPE]=<component_1> [NAME]=<component_name_1> [TEST]=<test_5> | Elapsed time of <component_name_1> job is high on <component_name_1> Database <component_name_1>
Minor,2025-08-01T23:48:00,False,3.1,1,host,[TYPE]=<component_1> [NAME]=<component_name_1> [TEST]=<test_4> | <test_4> on <component_name_1> Database <component_name_1>
