Priority,Alert_Description,Start_ISO,Start_Epoch,Start_Hour,Start_DOW,Is_Weekend,Duration_Sec,Duration_Min,Priority_Norm,Priority_Level,Component_Type,Component_Name,Test,Raw_Type,Raw_Name,Raw_Test,Src_Type,Src_Name,Ner_Type,Ner_Name,Regex_Type,Regex_Name
Minor,Maximum query elapsed time is high on Oracle Database ONPREM_KBZPRDDCPDB_PDB:1580:KBZPRDDCPDB,2025-08-02T00:00:00,1754092800,0,5,True,4200.0,70.0,Minor,1,host,Oracle,Maximum query elapsed time is high,host,Oracle,Maximum query elapsed time is high,regex,regex,oracle database,Oracle,host,Oracle
Minor,High disk space usage on /u01 drive of eG_Backend_DB_DR,2025-08-01T23:59:00,1754092740,23,4,False,569.0,9.483,Minor,1,host,eG_Backend_DB_DR,High disk space usage on /u01,host,eG_Backend_DB_DR,High disk space usage on /u01,regex,regex,host,eG_Backend_DB_DR,host,eG_Backend_DB_DR
Critical,High disk space usage on /export/home/orarom drive of BIREPO_DB_Node_1,2025-08-01T23:59:00,1754092740,23,4,False,1700.0,28.333,Critical,3,host,BIREPO_DB_Node_1,High disk space usage on /export/home/orarom,host,BIREPO_DB_Node_1,High disk space usage on /export/home/orarom,regex,regex,host,BIREPO_DB_Node_1,host,BIREPO_DB_Node_1
Minor,Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB,2025-08-01T23:58:00,1754092680,23,4,False,231.0,3.85,Minor,1,host,Oracle,Percentage of long table scans is high,host,Oracle,Percentage of long table scans is high,regex,regex,oracle database,long,host,Oracle
Minor,Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB,2025-08-01T23:58:00,1754092680,23,4,False,106.0,1.767,Minor,1,host,Oracle,Elapsed time of Oracle job is high,host,Oracle,Elapsed time of Oracle job is high,regex,regex,oracle database,Oracle,host,Oracle
Minor,There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-lp257 of namespace javaic on Kubernetes Cluster flexcube-cbs-uat-tkc,2025-08-01T23:58:00,1754092680,23,4,False,881.0,14.683,Minor,1,host,Kubernetes,There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-lp257 of namespace javaic,host,Kubernetes,There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-lp257 of namespace javaic,regex,regex,kubernetes cluster,obic-interest-extrp-service-9cd9c45b-lp257,host,Kubernetes
Minor,There are many waiting containers in pod aws-guardduty-agent-mhm56 of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv,2025-08-01T23:57:00,1754092620,23,4,False,7860.0,131.0,Minor,1,host,Kubernetes,There are many waiting containers in pod aws-guardduty-agent-mhm56 of namespace amazon-guardduty,host,Kubernetes,There are many waiting containers in pod aws-guardduty-agent-mhm56 of namespace amazon-guardduty,regex,regex,kubernetes cluster,aws-guardduty-agent-mhm56,host,Kubernetes
Critical,Test AWSAppStreamTest is not reporting at configured measure period on eG Agent eG_RUM_Agent,2025-08-01T23:57:00,1754092620,23,4,False,2708.0,45.133,Critical,3,eG agent,eG_RUM_Agent,AWSAppStreamTest,eG agent,eG_RUM_Agent,AWSAppStreamTest,regex,regex,eg agent,eG,eG agent,eG_RUM_Agent
Minor,Buffer cache hit ratio is low on Oracle Database EYLOAN_Oracle_DB:1880:dcey,2025-08-01T23:55:00,1754092500,23,4,False,2488.0,41.467,Minor,1,host,Oracle,Buffer cache hit ratio is low,host,Oracle,Buffer cache hit ratio is low,regex,regex,oracle database,Oracle,host,Oracle
Critical,Lagging checkpoint duration is high {EXTRACT/ELOTNE},2025-08-01T23:54:00,1754092440,23,4,False,4140.0,69.0,Critical,3,oracle goldengate extract,ELOTNE,Lagging checkpoint duration is high,oracle goldengate extract,ELOTNE,Lagging checkpoint duration is high,regex,regex,UNK,EXTRACT/ELOTNE,oracle goldengate extract,ELOTNE
Critical,Lagging checkpoint duration is high {EXTRACT/ELOTNG},2025-08-01T23:54:00,1754092440,23,4,False,4140.0,69.0,Critical,3,oracle goldengate extract,ELOTNG,Lagging checkpoint duration is high,oracle goldengate extract,ELOTNG,Lagging checkpoint duration is high,regex,regex,UNK,EXTRACT/ELOTNG,oracle goldengate extract,ELOTNG
