label,ResNet50,ResNet50_prob,VGGNet16,VGGNet16_prob,InceptionV3,InceptionV3_prob,ConvNeXt,ConvNeXt_prob,EfficientNet,EfficientNet_prob
antelope,impala,0.6615989208221436,impala,0.6538360714912415,impala,0.8625659346580505,impala,0.7495128512382507,impala,0.6198579668998718
badger,badger,0.9995995163917542,badger,0.9999674558639526,badger,0.9736696481704712,badger,0.8982971906661987,badger,0.8778508305549622
bat,isopod,0.2137584388256073,lycaenid,0.08092180639505386,earthstar,0.40976783633232117,lycaenid,0.14425122737884521,umbrella,0.1692844182252884
bear,American_black_bear,0.9838929176330566,American_black_bear,0.8830421566963196,American_black_bear,0.852851927280426,American_black_bear,0.9128730893135071,American_black_bear,0.8522562980651855
bee,bee,0.8486371636390686,bee,0.9752086400985718,bee,0.8058451414108276,bee,0.9129260182380676,bee,0.7297265529632568
beetle,rhinoceros_beetle,0.929142415523529,rhinoceros_beetle,0.9847529530525208,rhinoceros_beetle,0.9587897658348083,rhinoceros_beetle,0.9107707142829895,rhinoceros_beetle,0.7633334994316101
bison,bison,0.9992726445198059,bison,0.996618390083313,bison,0.9389178156852722,bison,0.8530895709991455,bison,0.8407361507415771
boar,wild_boar,0.5013855695724487,wild_boar,0.7589691281318665,wild_boar,0.680901825428009,wild_boar,0.682304322719574,wild_boar,0.5831239223480225
butterfly,monarch,0.8133814334869385,monarch,0.7892100214958191,monarch,0.9604175686836243,monarch,0.47270309925079346,monarch,0.3521934747695923
cat,tabby,0.7282057404518127,tabby,0.469437837600708,tabby,0.7975121736526489,Egyptian_cat,0.4792287051677704,Egyptian_cat,0.42138922214508057
catepillar,Granny_Smith,0.8430312871932983,Granny_Smith,0.2120402455329895,Granny_Smith,0.4626044034957886,Granny_Smith,0.6022519469261169,green_mamba,0.6322481036186218
child,bath_towel,0.25776270031929016,bath_towel,0.18726703524589539,nipple,0.31176483631134033,snorkel,0.09163759648799896,nipple,0.293597936630249
chimpanzee,chimpanzee,0.8825877904891968,gorilla,0.41519272327423096,chimpanzee,0.8299732804298401,chimpanzee,0.7977100014686584,chimpanzee,0.7304840087890625
cockroach,cockroach,0.9999836683273315,cockroach,0.9996947050094604,cockroach,0.9575676918029785,cockroach,0.897394061088562,cockroach,0.8356066346168518
cow,ox,0.8790751695632935,ox,0.6020959615707397,ox,0.7786397337913513,ox,0.863091230392456,ox,0.7057097554206848
coyote,coyote,0.9489652514457703,coyote,0.995328426361084,coyote,0.9511539340019226,coyote,0.8321533203125,coyote,0.6897358298301697
crab,rock_crab,0.4564484655857086,fiddler_crab,0.33885815739631653,fiddler_crab,0.8077335953712463,rock_crab,0.4314335584640503,rock_crab,0.48087507486343384
crow,coucal,0.3212175667285919,magpie,0.22944621741771698,water_ouzel,0.6985565423965454,water_ouzel,0.5288073420524597,water_ouzel,0.5189704298973083
deer,ibex,0.8800173401832581,ibex,0.9483729600906372,hartebeest,0.4173513352870941,ibex,0.5130794644355774,ibex,0.2752892076969147
dog,golden_retriever,0.9354116320610046,golden_retriever,0.9150508642196655,golden_retriever,0.8862029314041138,golden_retriever,0.9330254793167114,golden_retriever,0.810693085193634
dolphin,sea_lion,0.5423116683959961,stingray,0.39588743448257446,dugong,0.2587479054927826,killer_whale,0.3404460549354553,hammerhead,0.33162689208984375
donkey,hare,0.2901640832424164,ibex,0.6263723969459534,Irish_water_spaniel,0.1488712877035141,ibex,0.40959134697914124,coyote,0.1113038957118988
dragonfly,damselfly,0.6398332118988037,dragonfly,0.5233587622642517,dragonfly,0.5612409710884094,damselfly,0.6213215589523315,damselfly,0.623649001121521
duck,drake,0.9998000264167786,drake,0.9998507499694824,drake,0.9434155821800232,drake,0.847622275352478,drake,0.8246586322784424
eagle,bald_eagle,0.999987006187439,bald_eagle,0.9975855350494385,bald_eagle,0.9505366086959839,bald_eagle,0.9135436415672302,bald_eagle,0.8080315589904785
elephant,tusker,0.5174544453620911,tusker,0.5221245288848877,tusker,0.3635241687297821,tusker,0.7092591524124146,tusker,0.5329442620277405
flamingo,flamingo,0.9840821027755737,flamingo,0.9998106360435486,flamingo,0.6083469986915588,flamingo,0.8981205224990845,flamingo,0.8580054044723511
fly,fly,0.9989804625511169,fly,0.9860256314277649,fly,0.9711306095123291,fly,0.8425009250640869,fly,0.7724329829216003
man,bow_tie,0.4560851454734802,bow_tie,0.2735327184200287,suit,0.40584132075309753,bow_tie,0.3290680944919586,suit,0.2588083744049072
woman,wig,0.19593483209609985,fur_coat,0.10639283061027527,seat_belt,0.272850900888443,wig,0.3937073349952698,seat_belt,0.2750716507434845
