ResNet50_pred1,ResNet50_pred2,ResNet50_pred3,ResNet50_prob1,ResNet50_prob2,ResNet50_prob3,ResNet50_time,VGGNet16_pred1,VGGNet16_pred2,VGGNet16_pred3,VGGNet16_prob1,VGGNet16_prob2,VGGNet16_prob3,VGGNet16_time,InceptionV3_pred1,InceptionV3_pred2,InceptionV3_pred3,InceptionV3_prob1,InceptionV3_prob2,InceptionV3_prob3,InceptionV3_time,ConvNeXt_pred1,ConvNeXt_pred2,ConvNeXt_pred3,ConvNeXt_prob1,ConvNeXt_prob2,ConvNeXt_prob3,ConvNeXt_time,EfficientNet_pred1,EfficientNet_pred2,EfficientNet_pred3,EfficientNet_prob1,EfficientNet_prob2,EfficientNet_prob3,EfficientNet_time,label
basset,beagle,bloodhound,0.98684794,0.005122322,0.002614934,4.3748509883880615,basset,beagle,bloodhound,0.9878209,0.005690773,0.0026624543,0.9736859798431396,web_site,stopwatch,nematode,0.9808456,0.01915199,1.6598991e-06,4.3326239585876465,basset,bloodhound,doormat,0.7182176,0.07357989,0.009152057,3.8008956909179688,basset,dalmatian,Labrador_retriever,0.2714268,0.22973616,0.051137097,14.855388641357422,Basset
American_Staffordshire_terrier,boxer,bull_mastiff,0.31757915,0.31415567,0.24775463,0.4759707450866699,boxer,bull_mastiff,American_Staffordshire_terrier,0.96529126,0.024909068,0.0059343185,0.43866777420043945,stopwatch,vase,ashcan,0.99596834,0.0023161604,0.00077446527,0.35788798332214355,bull_mastiff,French_bulldog,boxer,0.6954575,0.060100563,0.044889823,1.047964096069336,bull_mastiff,French_bulldog,Staffordshire_bullterrier,0.42088675,0.10070248,0.093879886,2.8104612827301025,Bulldog
Chihuahua,toy_terrier,Ibizan_hound,0.95977825,0.024074461,0.0018531375,0.47820258140563965,Chihuahua,toy_terrier,miniature_pinscher,0.9672248,0.020190304,0.008289649,0.3817894458770752,web_site,sock,mink,1.0,2.1702131e-09,1.5287523e-11,0.35283923149108887,Chihuahua,toy_terrier,miniature_pinscher,0.9301271,0.008855858,0.0011344793,1.055548906326294,Chihuahua,toy_terrier,Mexican_hairless,0.843631,0.0035437767,0.0022833073,3.2809648513793945,Chihuahua
Pembroke,Cardigan,Chihuahua,0.8975307,0.10239233,4.74482e-05,0.4777500629425049,Pembroke,Cardigan,dingo,0.91838396,0.081462406,5.065571e-05,0.38301587104797363,web_site,nematode,stopwatch,1.0,2.4800045e-15,8.668614e-17,0.3455698490142822,Pembroke,Cardigan,piggy_bank,0.46041438,0.18724898,0.0010216263,1.084883213043213,Pembroke,Cardigan,German_shepherd,0.76370376,0.084267594,0.0010582121,3.0470545291900635,Corgi
Doberman,Rhodesian_ridgeback,black-and-tan_coonhound,0.98866373,0.0030589309,0.0016489691,0.4628775119781494,Doberman,black-and-tan_coonhound,redbone,0.93842846,0.03117909,0.01178974,0.41515684127807617,hammer,stole,ashcan,0.6205494,0.23029737,0.14915244,0.33464956283569336,Weimaraner,vizsla,redbone,0.88858765,0.016327169,0.0065073883,1.0623321533203125,dalmatian,Labrador_retriever,bluetick,0.4091994,0.033348896,0.031506844,2.8078389167785645,Dachshund
German_shepherd,Norwegian_elkhound,malinois,0.9876544,0.008204145,0.0010580247,0.4658381938934326,German_shepherd,Norwegian_elkhound,malinois,0.9515157,0.032935083,0.0095253065,0.3853800296783447,flatworm,web_site,stopwatch,0.9999988,1.2121662e-06,1.0047447e-10,0.33886027336120605,Norwegian_elkhound,German_shepherd,coyote,0.91281515,0.014950992,0.0034644424,1.021920919418335,schipperke,groenendael,tiger_cat,0.10555766,0.07422742,0.059994623,2.8505799770355225,German Shepherd
Eskimo_dog,Siberian_husky,malamute,0.5598943,0.3559051,0.0627775,0.47586655616760254,Eskimo_dog,Siberian_husky,malamute,0.43088406,0.4041868,0.119646244,0.4080536365509033,flatworm,binoculars,pitcher,0.99997675,2.2941038e-05,9.6584124e-08,0.35864830017089844,Eskimo_dog,Siberian_husky,malamute,0.5513683,0.21973442,0.014421224,1.054809331893921,Eskimo_dog,Siberian_husky,malamute,0.5756448,0.209733,0.020546779,2.844839334487915,Husky
Labrador_retriever,Rhodesian_ridgeback,vizsla,0.42755342,0.27263913,0.21604009,0.4840278625488281,Rhodesian_ridgeback,Labrador_retriever,vizsla,0.58203787,0.11779457,0.06463856,0.44229817390441895,web_site,stopwatch,sunglass,1.0,2.4315723e-08,3.992678e-19,0.35214900970458984,Weimaraner,Labrador_retriever,Rhodesian_ridgeback,0.7783092,0.13051336,0.00886698,1.228989601135254,Labrador_retriever,dalmatian,tennis_ball,0.81597453,0.031577665,0.011739773,2.9553956985473633,Labrador
Maltese_dog,Japanese_spaniel,Lhasa,0.79979134,0.08590723,0.06369949,0.4937865734100342,Maltese_dog,Lhasa,Shih-Tzu,0.97538847,0.0101643475,0.007379693,0.4386281967163086,web_site,flatworm,pitcher,1.0,7.780546e-18,1.8267527e-21,0.3845100402832031,Maltese_dog,Lhasa,Shih-Tzu,0.526175,0.072935775,0.072722375,1.120413064956665,Maltese_dog,Lhasa,Shih-Tzu,0.6061798,0.085132286,0.025841208,2.8467750549316406,Maltese
basenji,Pembroke,Cardigan,0.39946213,0.21228428,0.14720428,0.4579155445098877,dingo,Pembroke,basenji,0.3648913,0.33489513,0.14521739,0.3950340747833252,web_site,nematode,hammer,0.99994874,5.126279e-05,4.359308e-11,0.3449242115020752,Eskimo_dog,Siberian_husky,Norwegian_elkhound,0.5497239,0.20020589,0.08975991,1.0809524059295654,Eskimo_dog,Siberian_husky,malamute,0.61856705,0.15493722,0.037939932,3.0448484420776367,Shiba Inu
