ResNet50_pred1,ResNet50_pred2,ResNet50_pred3,ResNet50_prob1,ResNet50_prob2,ResNet50_prob3,ResNet50_time,VGGNet16_pred1,VGGNet16_pred2,VGGNet16_pred3,VGGNet16_prob1,VGGNet16_prob2,VGGNet16_prob3,VGGNet16_time,InceptionV3_pred1,InceptionV3_pred2,InceptionV3_pred3,InceptionV3_prob1,InceptionV3_prob2,InceptionV3_prob3,InceptionV3_time,ConvNeXt_pred1,ConvNeXt_pred2,ConvNeXt_pred3,ConvNeXt_prob1,ConvNeXt_prob2,ConvNeXt_prob3,ConvNeXt_time,EfficientNet_pred1,EfficientNet_pred2,EfficientNet_pred3,EfficientNet_prob1,EfficientNet_prob2,EfficientNet_prob3,EfficientNet_time,label
basset,beagle,bloodhound,0.98684794,0.005122293,0.0026149217,1.5834224224090576,basset,beagle,bloodhound,0.9878209,0.005690773,0.0026624594,0.45485997200012207,web_site,stopwatch,nematode,0.9808457,0.019151846,1.659855e-06,3.2996673583984375,basset,bloodhound,doormat,0.7182176,0.07357989,0.009152066,1.6883952617645264,basset,dalmatian,Labrador_retriever,0.27142647,0.22973588,0.051137254,7.929785251617432,Basset
American_Staffordshire_terrier,boxer,bull_mastiff,0.31757995,0.31415495,0.24775457,0.32277965545654297,boxer,bull_mastiff,American_Staffordshire_terrier,0.9652914,0.024909,0.0059343195,0.34337830543518066,stopwatch,vase,ashcan,0.99596846,0.0023161431,0.00077444175,0.21062636375427246,bull_mastiff,French_bulldog,boxer,0.6954576,0.060100567,0.044889826,0.6928412914276123,bull_mastiff,French_bulldog,Staffordshire_bullterrier,0.42088684,0.100702696,0.09387982,2.4074175357818604,Bulldog
Chihuahua,toy_terrier,Ibizan_hound,0.9597782,0.024074506,0.0018531426,0.38217616081237793,Chihuahua,toy_terrier,miniature_pinscher,0.9672248,0.020190362,0.008289649,0.33626675605773926,web_site,sock,mink,1.0,2.1701965e-09,1.5287407e-11,0.23685193061828613,Chihuahua,toy_terrier,miniature_pinscher,0.9301271,0.008855854,0.0011344788,0.7316873073577881,Chihuahua,toy_terrier,Mexican_hairless,0.8436312,0.0035437706,0.0022833056,2.587371826171875,Chihuahua
Pembroke,Cardigan,Chihuahua,0.8975308,0.10239215,4.7448204e-05,0.43637800216674805,Pembroke,Cardigan,dingo,0.91838413,0.08146227,5.0655482e-05,0.29900097846984863,web_site,nematode,stopwatch,1.0,2.48008e-15,8.6690434e-17,0.24714922904968262,Pembroke,Cardigan,piggy_bank,0.46041405,0.1872492,0.0010216256,0.6740484237670898,Pembroke,Cardigan,German_shepherd,0.7637037,0.08426766,0.001058213,2.3079707622528076,Corgi
Doberman,Rhodesian_ridgeback,black-and-tan_coonhound,0.98866373,0.0030589309,0.0016489706,0.4099452495574951,Doberman,black-and-tan_coonhound,redbone,0.93842846,0.03117909,0.01178974,0.3210313320159912,hammer,stole,ashcan,0.62053907,0.2302988,0.14916135,0.28317832946777344,Weimaraner,vizsla,redbone,0.8885876,0.016327174,0.006507391,0.7180824279785156,dalmatian,Labrador_retriever,bluetick,0.40919933,0.033348955,0.03150687,2.6256110668182373,Dachshund
German_shepherd,Norwegian_elkhound,malinois,0.9876544,0.008204115,0.0010580258,0.37928271293640137,German_shepherd,Norwegian_elkhound,malinois,0.9515157,0.032935083,0.0095253065,0.30745768547058105,flatworm,web_site,stopwatch,0.9999988,1.2121709e-06,1.0047466e-10,0.20865988731384277,Norwegian_elkhound,German_shepherd,coyote,0.9128151,0.014950975,0.0034644403,0.6589541435241699,schipperke,groenendael,tiger_cat,0.10555767,0.07422739,0.05999454,2.4794368743896484,German Shepherd
Eskimo_dog,Siberian_husky,malamute,0.5598948,0.3559047,0.06277744,0.3076286315917969,Eskimo_dog,Siberian_husky,malamute,0.4308845,0.40418643,0.11964626,0.3393402099609375,flatworm,binoculars,pitcher,0.99997675,2.2940427e-05,9.658449e-08,0.24707770347595215,Eskimo_dog,Siberian_husky,malamute,0.55136824,0.21973439,0.014421236,0.776885986328125,Eskimo_dog,Siberian_husky,malamute,0.5756446,0.20973304,0.020546792,2.440707206726074,Husky
Labrador_retriever,Rhodesian_ridgeback,vizsla,0.42755347,0.27263916,0.21603991,0.3664557933807373,Rhodesian_ridgeback,Labrador_retriever,vizsla,0.58203757,0.117794745,0.06463859,0.2960495948791504,web_site,stopwatch,sunglass,1.0,2.4317208e-08,3.992739e-19,0.2251114845275879,Weimaraner,Labrador_retriever,Rhodesian_ridgeback,0.77830946,0.13051315,0.008866979,0.7349474430084229,Labrador_retriever,dalmatian,tennis_ball,0.81597453,0.031577617,0.011739778,2.400588274002075,Labrador
Maltese_dog,Japanese_spaniel,Lhasa,0.7997917,0.08590718,0.063699394,0.31943607330322266,Maltese_dog,Lhasa,Shih-Tzu,0.97538847,0.010164328,0.007379686,0.3367581367492676,web_site,flatworm,pitcher,1.0,7.781734e-18,1.8269199e-21,0.26977109909057617,Maltese_dog,Lhasa,Shih-Tzu,0.526175,0.072935775,0.072722375,0.8187799453735352,Maltese_dog,Lhasa,Shih-Tzu,0.6061802,0.08513218,0.025841177,2.4419593811035156,Maltese
basenji,Pembroke,Cardigan,0.39946175,0.21228448,0.14720441,0.3425874710083008,dingo,Pembroke,basenji,0.36489165,0.3348948,0.14521739,0.2814970016479492,web_site,nematode,hammer,0.99994874,5.126279e-05,4.3592248e-11,0.23937082290649414,Eskimo_dog,Siberian_husky,Norwegian_elkhound,0.54972374,0.20020592,0.08975996,0.7345156669616699,Eskimo_dog,Siberian_husky,malamute,0.6185669,0.15493724,0.037939977,2.4560890197753906,Shiba Inu
